registration_tax,amount,%change,year
0125554017460,"1,718,224.58","13,418.68",2017
0125554017460,"6,919,433.21",302.70,2018
0205549006217,"1,226,592.42",N/A,2010
0205549006217,"925,516.56",-24.54,2011
0205549006217,372.07,-99.95,2012
0105551054321,"2,207,548.99",-16.25,2016
0105551054321,"1,307,843.44",-40.75,2017
0105551054321,"4,025,594.29",207.80,2018
0205546005139,N/A,N/A,2004
0205546005139,N/A,N/A,2005
0205546005139,N/A,N/A,2006
0115559001529,"943,908.20",N/A,2016
0115559001529,"1,079,049.60",14.31,2017
0115559001529,"1,210,867.19",12.21,2018
0205555009893,N/A,N/A,2011
0205555009893,N/A,N/A,2012
0205555009893,"213,560.65",N/A,2013
